x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
0.00713514117144452,0.112939557987782,-0,0.14744713,0.00944257887812751,0.16572527485364
0.00723462167640927,0.114629521155224,-0,0.15087613,0.00953701952306865,0.167425206526792
0.00735303128876885,0.116284490905952,-0,0.15087613,0.00963146016800978,0.169125138199943
0.00748656048119928,0.117909555139552,-0,0.15087613,0.00972724563772723,0.170824994093334
0.00762132000632935,0.119529738767024,-0,0.15430513,0.00982303110744468,0.172524849986724
0.00777525953585346,0.121143162402466,-0,0.15773414,0.00991747175238581,0.174224781659876
0.00793430099119573,0.122726715954358,-0,0.15773414,0.0100353867450003,0.175923083482847
0.00807105056152795,0.124278152217632,-0,0.16116314,0.0101787814080692,0.17761958595834
0.00820140934613604,0.125820427195353,-0,0.16116314,0.0103221760711381,0.179316088433833
0.00833176813074413,0.127362702173074,-0,0.16459215,0.010465570734207,0.181012590909326
0.00846030389464219,0.128905131239248,-0,0.16459215,0.0106089653972759,0.18270909338482
0.00856749934247355,0.130449041987403,-0,0.16802116,0.0107503547375638,0.18440576535761
0.00865335447423821,0.131994434417541,-0,0.17145018,0.0108682697301783,0.186104067180581
0.00874043217398135,0.133539757956987,-0,0.17145018,0.0109627103751194,0.187803998853733
0.00882750987372448,0.135085081496433,-0,0.17487919,0.0110584958448368,0.189503854747123
0.00890845973937295,0.13662106582047,-0,0.17487919,0.0111542813145543,0.191203710640514
0.00896801393292405,0.138124328995673,-0,0.1783082,0.0112500667842717,0.192903566533905
0.00901413424507932,0.139608953577976,-0,0.1783082,0.0113458522539892,0.194603422427295
0.00909980599039721,0.141120229443042,0.0030473,0.18173721,0.0114402928989303,0.196303354100447
0.00920381688322714,0.142659552007109,0,0.18516623,0.0115582078915448,0.198001655923418
0.00931283535176854,0.144203308666813,0,0.18516623,0.0116761228841593,0.199699957746389
0.00944319413637663,0.145745583644534,0,0.18859524,0.0117960431995549,0.201398090072062
0.00957994370670885,0.147297019907807,0,0.18859524,0.0119394378626238,0.203094592547555
0.00973898516205112,0.1488805734597,0,0.19202425,0.0120828325256927,0.204791095023049
0.00991528925097069,0.150491825287199,0,0.19545326,0.0122262271887616,0.206487597498542
0.0100736950431707,0.152109729479005,0,0.19545326,0.0123676165290494,0.208184269471333
0.0102297196288936,0.153732685668387,0,0.19888227,0.0124868763464402,0.209882495514543
0.0103925398274751,0.155383889663001,0.0030473,0.19888227,0.012606136163831,0.211580721557753
0.0105152172330437,0.157072087490821,0.0030473,0.20231129,0.0127475255041189,0.213277393530544
0.0106096578779848,0.158772019163973,0.0030473,0.20231129,0.0128654404967334,0.214975695353515
0.010704098522926,0.160471950837124,0.0030473,0.2057403,0.0129598811416745,0.216675627026666
0.0107985391678671,0.162171882510276,0.0030473,0.20916931,0.0130543217866157,0.218375558699817
0.0109004524716792,0.163881077619075,0.0030473,0.20916931,0.0131487624315568,0.220075490372969
0.0110363610976477,0.165598072612434,0.0030473,0.21259832,0.0132445479012742,0.221775346266359
0.0112107495488928,0.167303179381217,0.0030473,0.21259832,0.0133403333709917,0.22347520215975
0.011389641265588,0.168988658941602,0.0030473,0.21602734,0.0134361188407091,0.225175058053141
0.0115457964628155,0.170641563717909,0.0030473,0.21602734,0.0135319043104266,0.226874913946531
0.0116836125125309,0.172266421795215,0.00609461,0.21945635,0.0136263449553677,0.228574845619683
0.0118061459393196,0.173867907623354,0.00609461,0.21945635,0.0137207856003088,0.230274777292834
0.0119042271694256,0.175431997852826,0.00609461,0.22288536,0.01381522624525,0.231974708965986
0.0119931388257757,0.176982064732797,0.00609461,0.22631437,0.0139096668901911,0.233674640639137
0.0121016565523881,0.178560080368303,0.00609461,0.22631437,0.0140041075351323,0.235374572312288
0.012231569951098,0.180170817152643,0.0030473,0.22974339,0.0140998930048497,0.237074428205679
0.012366329476228,0.181791000780116,0.00609461,0.2331724,0.0141956784745671,0.23877428409907
0.0124792475012369,0.183412705214343,0.00609461,0.2331724,0.0142901191195083,0.240474215772221
0.0125820858061985,0.185054346659989,0.00609461,0.23660141,0.0143616517057723,0.242175110863218
0.0126879509959632,0.18673426554196,0.00609461,0.23660141,0.0144331842920363,0.243876005954214
0.0127824640111527,0.188434191171932,0.00609461,0.24003042,0.0145289697617538,0.245575861847605
0.0128603495786392,0.190110820332497,0.00609461,0.24003042,0.0146234827769433,0.247275787477576
0.0129138389581745,0.191750017331279,0.00609461,0.24345943,0.0147166509673565,0.248975788887309
0.0129619970954193,0.193365263204172,0.00609461,0.24688845,0.0148098191577697,0.250675790297041
0.0130198416147871,0.194931562784116,0.00609461,0.24688845,0.0149017148936549,0.252375861443354
0.0130684542779892,0.196430547352716,0.00609461,0.25031746,0.0149948830840681,0.254075862853086
0.0131165303466178,0.197919873218629,0.00609461,0.25031746,0.0150880512744813,0.255775864262818
0.0131890026031975,0.199446631246324,0.00609461,0.25374647,0.0151812194648945,0.257475865672551
0.0132737009581186,0.200992087073353,0.00609461,0.25374647,0.0152743876553077,0.259175867082283
0.0133579604638608,0.202581161355907,0.00609461,0.25717548,0.0153675558457209,0.260875868492015
0.0134465127261911,0.204247505259968,0.00609461,0.26403349,0.0154607240361341,0.262575869901747
0.0135422981959085,0.205947361153359,0.00609461,0.26403349,0.0155538922265473,0.26427587131148
